character,dialogue
JACK,"open. Jack takes a cigarette, then another, popping it behind his ear for"
JACK,later. Lovejoy lights Jack's cigarette.
LOVEJOY,You'll want to tie those.
LOVEJOY,Interesting that the young lady slipped so mighty all of a sudden and you
LOVEJOY,still had time to take of your jacket and shoes. Mmmm?
LOVEJOY,"Lovejoy's expression is bland, but the eyes are cold. He turns away to join"
LOVEJOY,his group.
LOVEJOY,"As she undresses for bed Rose sees Cal standing in her doorway, reflected"
LOVEJOY,in the cracked mirror of her vanity. He comes toward her.
CAL,"I know you've een melancholy, and I don't pretent to know why."
CAL,From behind his back he hands her a large black velvet jewel case. She
CAL,"takes it, numbly."
CAL,I intended to save this till the engagement gals next week. But I thought
CAL,"tonight, perhaps a reminder of my feeling for you..."
CAL,"Rose slowly opens the box. Inside is the necklace... ""HEART OF THE OCEAN"""
CAL,in all its glory. It is huge... a malevolent blue stone glittering with an
CAL,infinity of scalpel-like inner reflections.
ROSE,My God... Cal. Is it a--
CAL,Daimond. Yes it is. 56 carats.
CAL,He takes the necklace and during the following places it around her throat.
CAL,"He turns her to the mirror, staring behind her."
CAL,"It was once worn by Louis the Sixteenth. They call it Le Coeur de la Mer,"
ROSE,"The Heart of the Ocean. Cal, it's... it's overwhelming."
ROSE,He gazes at the image of the two of them in the mirror.
CAL,It's for royalty. And we are royalty.
CAL,His fingers caress her neck and throat. He seems himself to be disarmed by
CAL,"Rose's elegance and beauty. His emotion is, for the first time, unguarded."
CAL,There's nothing I couldn't give you. There's nothing I'd deny you if you
CAL,"would deny me. Open your heart to me, Rose."
CAL,"CAMERA begins to TRACK IN ON ROSE. Closer and closer, during the following:"
OLD ROSE (V.O.),"Of course his gift was only to reflect light back onto himself, to"
OLD ROSE (V.O.),illuminate the greatness that was Caledon Hockley. It was a cold stone... a
OLD ROSE (V.O.),heart of ice.
OLD ROSE (V.O.),"Finally, when Rose's eyes FILL FRAM, we MORPH SLOWLY to her eyes as the are"
OLD ROSE (V.O.),now... transforming through 84 years of life...
TRANSITION,"Without a cut the wrinkled, weathered landscape of age has appeared around"
TRANSITION,her eyes. But the eyes themselves are the same.
OLD ROSE,"After all these years, feel it closing around my throat like a dog collar."
OLD ROSE,THE CAMERA PUllS BACK to show her whole face.
ROSE,"I can still feel its weight. If you could have felt it, not just seen it..."
LOVETT,"Well, that's the general idea, my dear."
BODINE,So let me get this right. You were gonna kill yourself by jumping off the
BODINE,Titanic?
BODINE,That's great!
LOVETT,Lewis...
LOVETT,But Rose laughs with Bodine.
BODINE,All you had to do was wait two days!
BODINE,"Lovett, standing out of Rose's sightline, checks his watch. Hours have"
BODINE,passed. This process is taking too long.
LOVETT,"Rose, tell us more about the diamond. What did Hockley do with it after"
ROSE,"Im afraid I'm feeling a little tired, Mr. Lovett."
ROSE,Lizzy picks up the cue and starts to wheel her out.
LOVETT,"Wait! Can you give us something go on, here. Like who had access to the"
LOVETT,safe. What about this Lovejoy guy? The valet. Did he have the combination?
LIZZY,That's enough.
LIZZY,Lizzy takes her out. Rose's old hand reapears at the doorway in a frail
LIZZY,wave goodbye.
LIZZY,As the big hydraulic jib swings one of the Mir subs out over the water.
LIZZY,"Lovett walks as he talks with Bobby Buell, the partners' rep. They weave"
LIZZY,"among deck cranes, launch crew, sub maintenance guys."
BUELL,The partners are pissed.
BROCK,"Bobby, buy me time. I need time."
BUELL,"We're running thirty thousand a day, and we're six days over. I'm telling"
BUELL,you what they're telling me. The hand is on the plug. It's starting to
BROCK,"Well you tell the hand I need another two days! Bobby, Bobby, Bobby..."
BROCK,we're close! I smell it. I smell ice. She had the diamond on... now we just
BROCK,have to find out where it wound up. I just gotta work her a bit more. Okay?
BROCK,Brock turns and sees Lizy standing behind him. She has overheard the past
BROCK,part of his dialogue with Buell. He goes to her and hustles her away from
BROCK,"Buell, toward a quite spot on the deck."
BROCK,"Hey, Lizzy. I need to talk to you for a second."
LIZZY,Don't you mean work me?
BROCK,"Look, I'm running out of time. I need your help."
LIZZY,I'm not going to help you browbeat my hundred and
LIZZY (CONT'D),one year old grandmother. I came down here to tell you to back off.
BROCK,Lizzy... you gotta understand something. I've bet it all to find the Heart
BROCK,of the Ocean. I've got all my dough tied up in this thing. My wife even
BROCK,divorced me over this hunt. I need what's locked inside your grandma's
BROCK,memory.
BROCK,You see this? Right here?
BROCK,"She looks at his hand, palm up. Empty. Cupped, as if around an imaginary"
BROCK,shape.
BROCK,That's the shape my hand's gonna be when I hold that thing. You understand?
BROCK,I'm not leaving here without it.
LIZZY,"Look, Brock, she's going to do this her way, in her own time. Don't forget,"
LIZZY,"she contacted you. She's out here for her own reasons, God knows what they"
LOVETT,Maybe she wants to make peace with the past.
LIZZY,"What past? She has never once, not once, ever said a word about being on"
LIZZY,the Titanic until two days ago.
LOVETT,Then we're all meeting your grandmother for the first time.
LIZZY,You think she was really there?
LOVETT,"Oh, yeah. Yeah, I'm a believer. She was there."
LOVETT,Bodine starts the tape recorder. Rose is gazing at the screen seeing THE
LOVETT,LIVE FEED FROM THE WRECK--SNOOP DOG is moving along the starboard side of
LOVETT,"the hull, heading aft. The rectangular windows of A deck (forward) march"
LOVETT,past on the right.
ROSE,"The next day, Saturday, I remember thinking how the sunlight felt."
DISSOLVE TO:,"MATCH DISSOLVE from the rusting hulk to the gleaming new Titanic in 1912,"
DISSOLVE TO:,passing the end of the enclosed promenade just as Rose walks into the
DISSOLVE TO:,sunlight right in front of us. She is stunningly dressed and walking with
DISSOLVE TO:,purpose.
OLD ROSE (V.O.),As if I hadn't felt the sun in years.
OLD ROSE (V.O.),"IT IS SATURDAY APRIL 13, 1912. Rose unlatches the gate to go down into"
OLD ROSE (V.O.),third class. The steerage men on the deck stop what they're doing and stare
OLD ROSE (V.O.),at her.
OLD ROSE (V.O.),The social center of steerage life. It is stark by comparison to the
OLD ROSE (V.O.),"opulence of first class, but is a loud, boisterous place. There are mothers"
OLD ROSE (V.O.),"with babies, kids running between the benches yelling in several languages"
OLD ROSE (V.O.),"and being scolded in several more. There are old women yelling, men playing"
OLD ROSE (V.O.),"chess, girls doing needlepoint and reading dime novels. There is even an"
OLD ROSE (V.O.),upright piano and Tommy Ryan is noodling around it.
OLD ROSE (V.O.),"Three boys, shrieking and shouting, are scrambling around chasing a rat"
OLD ROSE (V.O.),"under the benches, trying to whomp it with a shoe and causing general"
OLD ROSE (V.O.),"havoc. Jack is playing with 5 year old CORA CARTMeLL, drawing funny faces"
OLD ROSE (V.O.),together in his sketchbook.
OLD ROSE (V.O.),Fabrizio is struggling to get a conversation going with an attractive
OLD ROSE (V.O.),"Norwegian girl, HELGA DAHL, sitting with her family at a table across the"
FABRIZIO,No Italian? Some little English?
HELGA,"No, no. Norwegian. Only."
HELGA,"Helga's eye is caught by something. Fabrizio looks, does a take... and"
HELGA,"Jack, curious, follows their gaze to see..."
HELGA,"Rose, coming toward them. The activity in the room stops... a hush falls."
HELGA,Rose feels suddenly self-conscious as the steerage passengers stare openly
HELGA,"at this princess, some with resentment, others with awe. She spots Jack and"
HELGA,"gives a little smile, walking straight to him. He rises to meet her,"
HELGA,smiling.
ROSE,Hello Jack.
ROSE,Fabrizio and Tommy are floored. Its like the slipper fitting Cinderella.
JACK,Hello again.
ROSE,Could I speak to you in private?
JACK,"Uh, yes. Of course. After you."
JACK,"He motions her ahead and follows. Jack glances over his shoulder, one"
JACK,"eyebrow raised, as he walks out with her leaving a stunned silence."
JACK,Jack and Rose walk side by side. They pass people reading and talking in
JACK,"steamer chairs, some of whom glance curiously at the mismatched couple. He"
JACK,"feels out of place in his rough clothes. They are both awkward, for"
JACK,different reasons.
JACK,"So, you got a name by the way?"
ROSE,Rose. Rose DeWitt Bukater.
JACK,That's quite a moniker. I may hafta get you to write that down.
JACK,There is an awkward pause.
ROSE,"Mr. Dawson, I--"
ROSE,Jack... I feel like such an idiot. It took me all morning to get up the
ROSE,nerve to face you.
JACK,"Well, here you are."
ROSE,Here I am. I... I want to thank you for what you did. Not just for... for
ROSE,pulling me back. But for your discretion.
JACK,You're welcome. Rose.
ROSE,"Look, I know what you must be thinking! Poor little rich girl. What does"
ROSE,she know about misery?
JACK,That's not what I was thinking. What I was thinking was... what could have
JACK,happened to hurt this girl so much she though she had no way out.
ROSE,"I don't... it wasn't just one thing. It was everything. It was them, it was"
ROSE,"their whole world. And I was trapped in it, like an insect in amber."
ROSE,I just had to get away... just run and run and run... and then I was at the
ROSE,back rail and there was no more ship... even the Titanic wasn't big enough.
ROSE,"Not enough to get away from them. And before I'd really though about it, I"
ROSE,was over the rail. I was so furious. I'll show them. They'll be sorry!
JACK,Uh huh. They'll be sorry. 'Course you'll be dead.
ROSE,"Oh God, I am such an utter fool."
JACK,"That penguin last night, is he one of them?"
ROSE,"Penguin? Oh, Cal! He is them."
JACK,Is he your boyfriend?
ROSE,Worse I'm afraid.
ROSE,She shows him her engagement ring. A sizable diamond.
JACK,Gawd look at that thing! You would have gone straight to the bottom.
JACK,"They laugh together. A passing steward scowls at Jack, who is clearly not a"
JACK,"first class passenger, but Rose just glares at him away."
JACK,So you feel like you're stuck on a train you can't get off 'cause you're
JACK,marryin' this fella.
ROSE,"Yes, exactly!"
JACK,So don't marry him.
ROSE,If only it were that simple.
JACK,It is that simple.
ROSE,"Oh, Jack... please don't judge me until you've seen my world."
JACK,"Well, I guess I will tonight."
JACK,"Looking for another topic, any other topic, she indicates his sketchbook."
ROSE,What's this?
JACK,Just some sketches.
ROSE,May I?
ROSE,The question is rhetorical because she has already grabbed the book. She
ROSE,sits on a deck chair and opens the sketchbook. ON JACK'S sketches... each
ROSE,"one an expressive little bit of humanity: an old woman's hands, a sleeping"
ROSE,"man, a father and daughter at the rail. The faces are luminous and alive."
ROSE,His book is a celebration of the human condition.
ROSE,"Jack, these are quite good! Really, they are."
JACK,"Well, they didn't think too much of 'em in Paree."
JACK,Some loose sketches fall out and are taken by the wind. Jack scrambles
JACK,"after them... catching two, but the rest are gone, over the rail."
ROSE,"Oh no! Oh, I'm so sorry. Truly!"
JACK,"He snaps his wrist, shaking his drawing hand in a flourish."
JACK,"I just seem to spew 'em out. Besides, they're not worth a damn anyway."
JACK,For emphasis he throws away the two he caught. They sail off.
ROSE,You're deranged!
ROSE,"She goes back to the book, turning a page."
ROSE,"Well, well..."
ROSE,She has come upon a series of nudes. Rose is transfixed by the languid
ROSE,"beauty he has created. His nudes are soulful, real, with expressive hands"
ROSE,and eyes. They feel more like portraits than studies of the human form...
ROSE,"almost uncomfortably intimate. Rose blushes, raising the book as some"
ROSE,strollers go by.
ROSE,And these were drawn from life?
JACK,Yup. That's one of the great things about Paris. Lots of girls willing take
JACK,their clothes off.
JACK,"She studies one drawing in particular, the girl posed half in sunlight,"
JACK,"half in shadow. Her hands lie at her chin, one furled and one open like a"
JACK,"flower, languid and graceful. The drawing is like an Alfred Steiglitz print"
JACK,of Georgia O'Keefe.
ROSE,You liked this woman. You used her several times.
JACK,She had beautiful hands.
ROSE,I think you must have had a love affair with her...
JACK,"No, no! Just with her hands."
ROSE,"You have a gift, Jack. You do. You see people."
JACK,I see you.
JACK,There it is. That piercing gaze again.
ROSE,And...?
JACK,You wouldn'ta jumped.
JACK,"Ruth is having tea with NOEL LUCY MARTHA DYER-EDWARDES, the COUNTESS OF"
JACK,"ROTHES, a 35ish English blue-blood with patirician features. Ruth sees"
JACK,someone coming across the room and lowers her voice.
RUTH,"Oh no, that vulgar Brown woman is coming this way. Get up, quickly before"
RUTH,she sits with us.
RUTH,"Molly Brown walks up, greeting them cheerfully as they are rising."
MOLLY,"Hello girls, I was hoping I'd catch you at tea."
RUTH,We're awfully sorry you missed it. The Countess and I are just off to take
RUTH,the air on the boat deck.
MOLLY,That sounds great. Let's go. I need to catch up on the gossip.
MOLLY,Ruth grits her teeth as the three of them head for the Grand Staircase to
MOLLY,"go up. TRACKING WITH THEM, as they cross the room, the SHOT HANDS OFF to"
MOLLY,Bruce Ismay and Captain Smith at another table.
ISMAY,So you've not lit the last four boilers then?
SMITH,"No, but we're making excellent time."
ISMAY,"Captain, the press knows the size of Titanic, let them marvel at her speed"
ISMAY,Titnaic must make headlines!
SMITH,I prefer not to push the engines until they've been properly run in.
ISMAY,"Of course I leave it to your good offices to decide what's best, but what a"
ISMAY,glorious end to your last crossing if we get into New York Tuesday night
ISMAY,and surprise them all.
ISMAY,"Retire with a bang, eh, E.J?"
ISMAY,"A beat. Then Smith nods, stiffy."
ISMAY,"Rose and Jack stroll aft, past people lounging on deck chairs in the"
ISMAY,slanting late-afternoon light. Stewards scurry to serve tea or hot cocoa.
ROSE,"You know, my dream has always been to just chuck it all and become an"
ROSE,"artist... living in a garret, poor but free!"
JACK,"You wouldn't last two days. There's no hot water, and hardly ever any"
JACK,caviar.
ROSE,"Listen, buster... I hate caviar! And I'm tired of people dismissing my"
ROSE,dreams with a chuckle and a pat on the head.
JACK,I'm sorry. Really... I am.
ROSE,"Well, alright. There's something in me, Jack. I feel it. I don't know what"
ROSE,"it is, whether I should be an artist, or, I don't know... a dancer. Like"
ROSE,Isadora Duncan.... a wild pagan spirit...
ROSE,"She leaps forward, lands deftly and whirls like a dervish. Then she sees"
ROSE,something ahead and her face lights up.
ROSE,...or a moving picture actress!
ROSE,"She takes his hand and runs, pulling him along the deck toward--"
ROSE,DANIEL AND MARY MARVIN. Daniel is cranking the big wooden movie camera as
ROSE,she poses stiffly at the rail.
MARVIN,"You're sad. Sad, sad, sad. You've left your lover on the shore. You may"
MARVIN,"never see him agian. Try to be sadder, darling."
MARVIN,SUDDENLY Rose shoots into the shot and strikes a theatrical pose at the
MARVIN,rail next to Mary. Mary bursts out laughing. Rose pulls Jack into the
MARVIN,picture and makes him pose.
MARVIN,"Marvin grins and starts yelling and gesturing. We see this in CUTS, with"
MARVIN,music and no dialogue.
SERIES OF CUTS:,"Rose posing tragically at the rail, the back of her hand to her forehead."
SERIES OF CUTS:,"Jack on a deck chair, pretending to be a Pasha, the two girls pantomiming"
SERIES OF CUTS:,fanning him like slave girls.
SERIES OF CUTS:,"Jack, on his knees, pleading with his hands clasped while Rose, standing,"
SERIES OF CUTS:,turns her head in bored disdain.
SERIES OF CUTS:,"Rose cranking the camera, while Daniel and Jack have a western shoot-out."
SERIES OF CUTS:,"Jack wins and leers into the lens, twirling an air mustache like Snidely"
SERIES OF CUTS:,Whiplash.
SERIES OF CUTS:,"Painted with orange light, Jack and Rose lean on the A-deck rail aft,"
SERIES OF CUTS:,shoulder to shoulder. The ship's lights come on.
SERIES OF CUTS:,It is a magical moment... perfect.
ROSE,"So then what, Mr. Wandering Jack?"
JACK,"Well, then logging got to be too much like work, so I went down to Los"
JACK,"Angelas to the pier in Santa Monica. That's a swell place, they even have a"
JACK,rollercoaster. I sketched portraits there for ten cents a piece.
ROSE,A whole ten cents?!
JACK,"Yeah; it was great money... I could make a dollar a day, sometimes. But"
JACK,"only in summer. When it got cold, I decided to go to Paris and see what the"
JACK,real artists were doing.
ROSE,Why can't I be like you Jack? Just head out for the horizon whenever I feel
ROSE,like it.
ROSE,"Say we'll go there, sometime... to that pier... even if we only ever just"
ROSE,talk about it.
JACK,"Alright, we're going. We'll drink cheap beer and go on the rollercoaster"
JACK,until we throw up and we'll ride horses on the beach... right in the
JACK,"surf... but you have to ride like a cowboy, none of that side-saddle stuff."
ROSE,You mean one leg on each side? Scandalous! Can you show me?
JACK,Sure. If you like.
ROSE,I think I would.
ROSE,And teach me to spit too. Like a man. Why should only men be able to spit.
ROSE,It's unfair.
JACK,"They didn't teach you that in finishing school? Here, it's easy. Watch"
JACK,closely.
JACK,He spits. It arcs out over the water.
JACK,Your turn.
JACK,Rose screws up her mouth and spits. A pathetic little bit of foamy spittle
JACK,which mostly runs down her chin before falling off into the water.
JACK,"Nope, that was pitiful. Here, like this... you hawk it down... HHHNNNK!..."
JACK,"then roll it on your tongue, up to the front, like thith, then a big breath"
JACK,and PLOOOW!! You see the range on that thing?
JACK,"She goes through the steps. Hawks it down, etc. He coaches her through it"
JACK,comets of gob fly out over the water.
JACK,That was great!
JACK,"Rose turns to him, her face alight. Suddenly she blanches. He sees her"
JACK,expression and turns.
JACK,"RUTH, the Countess of Rothes, and Molly Brown have been watching them"
JACK,hawking lugees. Rose becomes instantly composed.
ROSE,"Mother, may I introduce Jack Dawson."
RUTH,"Charmed, I'm sure."
RUTH,Jack has a little spit running down his chin. He doesn't know it. Molly
RUTH,"Brown is grinning. As Rose proceeds with the introductions, we hear..."
OLD ROSE (V.O.),The others were gracious and curious about the man who'd saved my life. But
OLD ROSE (V.O.),my mother looked at him like an insect. A dangerous insect which must be
OLD ROSE (V.O.),squashed quickly.
MOLLY,"Well, Jack, it sounds like you're a good man to have around in a sticky"
MOLLY,spot--
MOLLY,They all jump as a BUGLER sounds the meal call right behind them.
MOLLY,Why do they insist on always announcing dinner like a damn cavalry charge?
ROSE,"Shall we go dress, mother?"
ROSE,"See you at dinner, Jack."
RUTH,"Rose, look at you... out in the sun with no hat. Honestly!"
RUTH,"The Countess exits with Ruth and Rose, leaving Jack and Molly alone on"
MOLLY,"Son, do you have the slightest comprehension of what you're doing?"
JACK,Not really.
MOLLY,"Well, you're about to go into the snakepit. I hope you're ready. What are"
MOLLY,you planning to wear?
MOLLY,Jack looks down at his clothes. Back up at her. He hadn't thought about
MOLLY,I figured.
MOLLY,Men's suits and jackets and formal wear are strewn all over the place.
MOLLY,"Molly is having a fine time. Jack is dressed, except for his jacket, and"
MOLLY,Molly is tying his bow tie.
MOLLY,Don't feel bad about it. My husband still can't tie one of these damn
MOLLY,things after 20 years. There you go.
MOLLY,She picks up a jacket off the bed and hands it to him. Jack goes into the
MOLLY,bathroom to put it on. Molly starts picking up the stuff off the bed.
MOLLY,I gotta buy everything in three sizes 'cause I never know how much he's
MOLLY,been eating while I'm away.
MOLLY,"She turns and sees him, though we don't."
MOLLY,"My, my, my... you shine up like a new penny."
MOLLY,"A purple sky, shot with orange, in the west. Drifting strains of classic"
MOLLY,music. We TRACK WITH JACK along the deck. By Edwardian standards he looks
MOLLY,"badass. Dashing in his borrowed white-tie outfit, right down to his pearl"
MOLLY,studs.
MOLLY,A steward bows and smartly opens the door to the First Class Entrance.
STEWARD,"Good evening, sir."
STEWARD,Jack plays the role smoothly. Nods with just the right degree of disdain.
STEWARD,Jack steps in and his breath is taken away by the splendor spread out
STEWARD,"before him. Overhead is the enormous glass dome, with a crystal chandelier"
STEWARD,at its center. Sweeping down six stories is the First Class Grand
STEWARD,"Staircase, the epitome of the opulent naval architecture of the time."
STEWARD,"And the people: the women in their floor length dresses, elaborate"
STEWARD,"hairstyles and abundant jewelry... the gentlemen in evening dress, standing"
STEWARD,"with one hand at the small of the back, talking quietly."
STEWARD,Jack descends to A deck. Several men nod a perfunctory greeting. He nods
STEWARD,"back, keeping it simple. He feels like a spy."
STEWARD,"Cal comes down the stairs, with Ruth on his arm, covered in jewelry. They"
STEWARD,"both walk right past Jack, neither one gecognizeing him. Cal nods at him,"
STEWARD,one gent to another. But Jack barely has time to be amused. Because just
STEWARD,"behind Cal and Ruth on the stairs is Rose, a vision in red and black, her"
STEWARD,"low-cut dress showing off her neck and shoulders, her arms seathed in white"
STEWARD,gloves that come well above above the elbow. Jack is hypnotized by her
STEWARD,beauty.
STEWARD,"CLOSE ON ROSE as she approaches Jack. He imitates the gentlemen's stance,"
STEWARD,"hand behind his back. She extends her gloved hand and he takes it, kissing"
STEWARD,"the back of her fingers. Rose flushes, beaming noticeably. She can't take"
STEWARD,her eyes off him.
JACK,"I saw that in a nickelodean once, and I always wanted to do it."
ROSE,"Cal, surely you remember Mr. Dawson."
CAL,Dawson! I didn't recognize you.
CAL,Amazing! You could almost pass for a gentlemen.
CAL,"encounter Molly Brown, looking good in a beaded dress, in her own busty"
CAL,broad-shouldered way. Molly grins when she sees Jack. As they are going
CAL,"into the dining saloon she walks next to him, speaking low:"
MOLLY,"Ain't nothin' to it, is there, Jack?"
JACK,"Yeah, you just dress like a pallbearer and keep your nose up."
MOLLY,"Remember, the only thing they respect is money, so just act like you've got"
MOLLY,a lot of it and you're in the club.
MOLLY,"As they enter the swirling throng, Rose leans close to him, pointing out"
MOLLY,several notables.
ROSE,There's the Countess Rothes. And that's John Jacob Astor... the richest man
ROSE,"on the ship. His little wifey there, Madeleine, is my age and in a delicate"
ROSE,condition. See how she's trying to hide it. Quite the scandal.
ROSE,"And over there, that's Sir Cosmo and Lucile, Lady Duff-Gordon. She designs"
ROSE,"naughty lingerie, among her many talents. Very popular with the royals."
ROSE,Cal becomes engrossed in a conversations with Cosmo Duff-Gordon and Colonel
ROSE,"Gracie, while Ruth, the Countess and Lucille discuss fashion. Rose picots"
ROSE,"Jack smoothly, to show him another couple, dressed impeccably."
ROSE,"And that's Benjamin Guggenheim and his mistress, Madame Aubert. Mrs."
ROSE,"Guggenheim is at home with the children, of course."
ROSE,"Cal, meanwhile, is accepting the praise of his male counterparts, who are"
ROSE,looking at Rose like a prize show horse.
SIR COSMO,"Hockley, she is splendid."
CAL,Thank you.
GRACIE,"Cal's a lucky man. I know him well, and it can only be luck."
GRACIE,"Ruth steps over, hearing the last. She takes Cal's arm, somewhat"
GRACIE,coquettishly.
RUTH,How can you say that Colonel? Caledon Hockley is a great catch.
RUTH,"The entourage strolls toward the dining saloon, where they run into the"
RUTH,Astor's going through the ornate double doors.
ROSE,"J.J., Madeleine, I'd like you to meet Jack Dawson."
ASTOR,Good to meet you Jack. Are you of the Boston Dawsons?
JACK,"No, the Chippewa Falls Dawsons, actually."
JACK,"J.J. nods as if he's heard of them, then looks puzzled. Madeleine Astor"
JACK,appraises Jack and whispers girlishly to Rose:
MADELEINE,"It's a pity we're both spoken for, isn't it?"
MADELEINE,"Like a ballroom at the palace, alive and lit by a constellation of"
MADELEINE,"chandeliers, full of elegantly dressed people and beautiful music from"
MADELEINE,BANDLEADER WALLACE HARTLEY'S small orchestra. As Rose and Jack enter and
MADELEINE,"move across the room to their table, Cal and Ruth beside them, we hear..."
OLD ROSE (V.O.),He must have been nervous but he never faltered. They assumed he was one of
OLD ROSE (V.O.),"them... a young captain of industry perhaps... new money, obviously, but"
OLD ROSE (V.O.),"still a memeber of the club. Mother of course, could always be counted"
OLD ROSE (V.O.),upon...
RUTH,"Tell us of the accommodations in steerage, Mr. Dawson. I hear they're quite"
RUTH,good on this ship.
RUTH,"WIDER: THE TABLE. Jack is seated opposite Rose, who is flanked by Cal and"
RUTH,"Thomas Andrews. Also at the table are Molly Brown, Ismay, Colonel Gracie,"
RUTH,"the Countess, Guggenheim, Madame Aubert, and the Astors."
JACK,"The best I've seen, m'am. Hardly any rats."
JACK,Rose motions surreptitiously for Jack to take his napkin off his plate.
CAL,Mr. Dawson is joining us from third class. He was of some assistance to my
CAL,fiancee last night.
CAL,This is foie gras. It's goose liver.
CAL,We see whispers exchanged. Jack becomesthe subject of furtive glances. Now
CAL,they're all feeling terribly liberal and dangerous.
GUGGENHEIM,"What is Hockly hoping to prove, bringing this... bohemian... up here?"
WAITER,"How do you take your caviar, sir?"
CAL,Just a soupcon of lemon...
CAL,...it improves the flavor with champagne.
JACK,"No caviar for me, thanks."
JACK,Never did like it much.
JACK,"He looks at Rose, pokerfaced, and she smiles."
RUTH,"And where exactly do you live, Mr. Dawson?"
JACK,"Well, right now my address is the RMS Titanic. After that, I'm on God's"
JACK,good humor.
JACK,Salad is served. Jack reaches for the fish fork. Rose gives him a look and
JACK,"picks up the salad fork, prompting him with her eyes. He changes forks."
RUTH,"You find that sort of rootless existence appealing, do you?"
JACK,"Well... it's a big world, and I want to see it all before I go. My father"
JACK,was always talkin' about goin' to see the ocean. He died in the town he was
JACK,"born in, and never did see it. You can't wait around, because you never"
JACK,"when I was fifteen, and I've been on the road since. Somethin' like that"
JACK,teaches you to take life as it comes at you. To make each day count.
JACK,Molly Brown raises her glass in a salute.
MOLLY,"Well said, Jack."
COLONEL GRACIE,"Here, here."
COLONEL GRACIE,"Rose raises her glass, looking at Jack."
ROSE,To making it count.
ROSE,"Ruth, annoyed that Jack has scored a point, presses him further."
RUTH,"How is it you have the means to travel, Mr. Dawson?"
JACK,I work my way from place to place. Tramp steamers and such. I won my ticket
JACK,on Titanic here in a lucky hand at poker.
JACK,A very lucky hand.
GRACIE,All life is a game of luck.
CAL,"A real man makes his own luck, Archie."
CAL,"Rose notices that Thomas Andrews, sitting next to her, is writing in his"
CAL,"notebook, completely ignoring the conversation."
ROSE,"Mr. Andrews, what are you doing? I see you everywhere writing in this"
ROSE,little book.
ROSE,Increase number of screws in hat hooks from 2 to 3. You build the biggest
ROSE,ship in the world and this preoccupies you?!
ROSE,Andrews smiles sheepishly.
ISMAY,"He knows every rivet in her, don't you Thomas?"
ANDREWS,All three million of them.
ISMAY,"His blood and soul are in the ship. She may be mine on paper, but in the"
ISMAY,eyes of God she belongs to Thomas Andrews.
ROSE,"Your ship is a wonder, Mr. Andrews. Truly."
ANDREWS,"Thankyou, Rose."
ANDREWS,We see that Andrews has come under Rose's spell.
ANDREWS,83 TIME TRANSITION: Dessert has been served and a waiter arrives with
ANDREWS,cigars in a humidor on a wheeled cart. The men start clipping ends and
ANDREWS,lighting.
ROSE,Nest it'll be brandies in the Smoking Room.
GRACIE,"Well, join me for a brandy, gentlemen?"
ROSE,Now they retreat into a cloud of smoke and congratulate each other on being
ROSE,masters of the universe.
GRACIE,"Joining us, Dawson? You don't want to stay out here with the women, do you?"
GRACIE,"Actually he does, but..."
JACK,No thanks. I'm heading back.
CAL,"Probably best. It'll be all business and politics, that sort of thing."
CAL,Wouldn't interest you. Good of you to come.
CAL,Cal and te other gentlemen exit.
ROSE,"Jack, must you go?"
JACK,Time for my coach to turn back into a pumpkin.
JACK,He leans over to take her hand.
JACK,INSERT: We see him slip a tiny folded not into her palm.
JACK,"Ruth, scowling, watches him walk away across the enormous room. Rose"
JACK,"surreptitiously opens the note below table level. It reads: ""Make it count."
JACK,"Meet me at the clock""."
JACK,"Rose crosses the A-Deck foyer, sighting Jack at the landing above. Overhead"
JACK,"is the crystal dome. Jack has his back to her, studying the ornate clock"
JACK,with its carved figures of Honor and Glory. It softly strikes the hour.
JACK,MOVING WITH ROSE as she goes up the sweeping staircase toward him. He
JACK,"turns, sees her... smiles."
JACK,Want to go to a real party?
JACK,"Crow led and alive with music, laughter and raucous carrying on. An ad hoc"
JACK,"band is gathered near the upright piano, honking out lively stomping music"
JACK,"on fiddle, accoridon and tambourine. People of all ages are dancing,"
JACK,"drinking beer and wine, smoking, laughing, even brawling."
JACK,Tommy hands Rose a pint of stout and she hoists it. Jack meanwhile dances
JACK,"with 5 year old Cora Cartmell, or tries to, with her standing on his feet."
JACK,"As the tune ends, Rose leans down to the little girl."
ROSE,"May I cut in, miss?"
JACK,"You're still my best girl, Cora."
JACK,Cora scampers off. Rose and Jack face each other. She is trembling as he
JACK,takes her right hand in his left. His other hand slides to the small of her
JACK,back. It is an electrifying moment.
ROSE,I don't know the steps.
JACK,Just move with me. Don't think.
JACK,"The music starts and they are off. A little awkward at first, she starts to"
JACK,get into it. She grins at Jack as she starts to get the rhythm of the
JACK,steops.
ROSE,Wait... stop!
ROSE,"She bends down, pulling off her high heeled shoes, and flings them to"
ROSE,"Tommy. Then she grabs Jack and they plunge back into the fray, dancing"
ROSE,faster as the music speeds up.
ROSE,crashes into it. And in the middle of it... Rose dancing with Jack in her
ROSE,stocking feet. The steps are fast and she shines with sweat. A space opens
ROSE,"around them, and people watch them, clapping as the band plays faster and"
ROSE,faster.
ROSE,FABRIZIO AND HELGA. Dancing has obviated the need for a common language. He
ROSE,"whirls her, then she responds by whirling him... Fabrizio's eyes go wide"
ROSE,when he realizes she's stronger than he is.
ROSE,"The tune ends in a mad rush. Jack steps away from Rose with a flourish,"
